rank, signal, gate, level, fanout, PO_count, PO_impact           , PO_impact_%        , reachable_POs
 246,    350, OR  ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['449']
 247,    351, NOT ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['420']
 248,    353, NOT ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['421']
 249,    354, NOT ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['422']
 250,    355, NAND,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['450']
 251,    356, AND ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['423']
 252,    392, OR  ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['446']
 253,    399, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['447']
 254,    401, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['448']
 255,    402, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['449']
 256,    403, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['450']
 257,    404, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 258,    405, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 259,    406, AND ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 260,    407, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 261,    408, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 262,    409, AND ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 263,    411, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 264,    412, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 265,    413, AND ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 266,    414, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 267,    415, NOT ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 268,    416, AND ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 269,    417, AND ,     3,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 270,    425, AND ,     4,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 271,    426, AND ,     4,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 272,    444, AND ,     4,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 273,    445, AND ,     4,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 274,    498, NAND,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 275,    499, OR  ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 276,    500, NAND,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 277,    501, OR  ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 278,    518, NAND,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 279,    519, OR  ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 280,    520, NAND,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 281,    521, OR  ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 282,    522, AND ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 283,    523, AND ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 284,    524, AND ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 285,    525, AND ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 286,    526, AND ,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 287,    527, NAND,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 288,    528, NAND,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 289,    529, NAND,     6,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 290,    550, NOT ,     8,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 291,    551, NOT ,     8,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 292,    552, AND ,     8,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 293,    585, NOT ,     8,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 294,    586, NOT ,     8,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 295,    587, AND ,     8,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 296,    588, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 297,    589, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 298,    596, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 299,    605, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 300,    615, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 301,    624, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 302,    631, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 303,    640, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 304,    650, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 305,    659, AND ,     9,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 306,    660, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 307,    661, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 308,    669, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 309,    677, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 310,    686, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 311,    696, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 312,    704, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 313,    712, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 314,    721, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 315,    731, NOR ,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 316,    732, NAND,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 317,    733, NAND,    10,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 318,    735, NOT ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['866']
 319,    736, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 320,    737, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 321,    739, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 322,    740, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 323,    741, NOT ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 324,    742, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 325,    743, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 326,    744, NOT ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 327,    745, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 328,    746, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 329,    748, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 330,    749, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 331,    751, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 332,    752, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 333,    753, NOT ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 334,    754, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 335,    755, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 336,    756, NOT ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 337,    757, NOR ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 338,    758, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 339,    759, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 340,    760, AND ,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 341,    761, NAND,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 342,    764, NAND,    11,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 343,    769, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 344,    770, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 345,    771, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 346,    772, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 347,    777, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 348,    781, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 349,    785, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 350,    786, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 351,    787, NOR ,    12,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 352,    788, NOR ,    13,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 353,    789, AND ,    13,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 354,    790, NOR ,    13,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 355,    791, AND ,    13,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 356,    792, NOR ,    13,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 357,    793, AND ,    13,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 358,    794, AND ,    13,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 359,    802, NOR ,    14,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 360,    803, NOR ,    14,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 361,    804, NOR ,    14,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 362,    805, NOR ,    14,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 363,    806, NOR ,    15,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 364,    807, AND ,    15,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 365,    808, AND ,    15,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 366,    809, AND ,    15,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 367,    810, AND ,    15,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 368,    811, NAND,    15,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 369,    812, NAND,    15,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 370,    813, NAND,    15,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 371,    825, NOR ,    16,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 372,    826, NOR ,    16,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 373,    827, NOR ,    16,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 374,    828, NOR ,    16,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 375,    829, NOT ,    16,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 376,    830, NOR ,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 377,    831, AND ,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 378,    832, NOR ,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 379,    833, AND ,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 380,    834, NOR ,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 381,    835, AND ,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 382,    836, AND ,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 383,    837, NAND,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 384,    838, NAND,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 385,    839, NAND,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 386,    840, NOT ,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 387,    841, NAND,    17,      1,        1, 0.038461538461538464,  3.8461538461538463, ['866']
 388,    842, NOR ,    18,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 389,    843, NOR ,    18,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 390,    844, NOR ,    18,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 391,    845, NOR ,    18,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 392,    846, NOT ,    18,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 393,    847, NOT ,    18,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 394,    848, NOT ,    18,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 395,    849, AND ,    18,      1,        1, 0.038461538461538464,  3.8461538461538463, ['866']
 396,    851, AND ,    19,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 397,    852, AND ,    19,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 398,    853, AND ,    19,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 399,    854, NAND,    19,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 400,    855, NOT ,    19,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 401,    856, NOT ,    19,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 402,    857, NOT ,    19,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 403,    858, NOT ,    19,      1,        1, 0.038461538461538464,  3.8461538461538463, ['866']
 404,    859, NOR ,    20,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 405,    860, NOR ,    20,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 406,    861, NOR ,    20,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 407,    862, NOT ,    20,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 408,    867, NAND,    21,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 409,    868, NAND,    21,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 410,    869, NAND,    21,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 411,    870, NOT ,    21,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 412,    871, NOT ,    22,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 413,    872, NOT ,    22,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 414,    873, NOT ,    22,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 415,    875, NOT ,    23,      1,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 416,    876, NOT ,    23,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 417,    877, NOT ,    23,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 418,    388, BUFF,     2,      0,        1, 0.038461538461538464,  3.8461538461538463, ['388']
 419,    389, BUFF,     2,      0,        1, 0.038461538461538464,  3.8461538461538463, ['389']
 420,    390, BUFF,     2,      0,        1, 0.038461538461538464,  3.8461538461538463, ['390']
 421,    391, BUFF,     2,      0,        1, 0.038461538461538464,  3.8461538461538463, ['391']
 422,    418, BUFF,     3,      0,        1, 0.038461538461538464,  3.8461538461538463, ['418']
 423,    419, BUFF,     3,      0,        1, 0.038461538461538464,  3.8461538461538463, ['419']
 424,    420, BUFF,     3,      0,        1, 0.038461538461538464,  3.8461538461538463, ['420']
 425,    421, BUFF,     3,      0,        1, 0.038461538461538464,  3.8461538461538463, ['421']
 426,    422, BUFF,     3,      0,        1, 0.038461538461538464,  3.8461538461538463, ['422']
 427,    423, BUFF,     3,      0,        1, 0.038461538461538464,  3.8461538461538463, ['423']
 428,    446, BUFF,     4,      0,        1, 0.038461538461538464,  3.8461538461538463, ['446']
 429,    447, BUFF,     4,      0,        1, 0.038461538461538464,  3.8461538461538463, ['447']
 430,    448, BUFF,     4,      0,        1, 0.038461538461538464,  3.8461538461538463, ['448']
 431,    449, BUFF,     4,      0,        1, 0.038461538461538464,  3.8461538461538463, ['449']
 432,    450, BUFF,     4,      0,        1, 0.038461538461538464,  3.8461538461538463, ['450']
 433,    767, BUFF,    11,      0,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 434,    768, BUFF,    11,      0,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 435,    850, BUFF,    18,      0,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 436,    863, BUFF,    20,      0,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 437,    864, BUFF,    20,      0,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 438,    865, BUFF,    20,      0,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 439,    866, BUFF,    20,      0,        1, 0.038461538461538464,  3.8461538461538463, ['866']
 440,    874, BUFF,    22,      0,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 441,    878, BUFF,    24,      0,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 442,    879, BUFF,    24,      0,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 443,    880, BUFF,    24,      0,        1, 0.038461538461538464,  3.8461538461538463, ['880']
